source,target,value
Kinematics-Linear Motion,Kinematics-Linear Motion,1
Kinematics-Linear Motion,Kinematics-Free Fall,0.25
Kinematics-Linear Motion,Kinematics-Projectile Motion,0.25
Kinematics-Linear Motion,Dynamics -Newton’s Laws of Motion,0.3
Kinematics-Linear Motion,Dynamics -Motion on inclined planes,0.25
Kinematics-Linear Motion,"Work, kinetic energy and potential energy",0.3
Kinematics-Linear Motion,Dynamics-Work-energy theorem,0.3
Kinematics-Linear Motion,Dynamics-Conservation of energy,0.3
Kinematics-Linear Motion,Dynamics-Power,0.3
Kinematics-Linear Motion,Dynamics-Linear momentum,0.286
Kinematics-Linear Motion,Dynamics-Conservation of linear momentum and impulse,0.3
Kinematics-Linear Motion,Dynamics-Elastic collision,0.2
Kinematics-Linear Motion,Dynamics-Inelastic collision,0.3
Kinematics-Linear Motion,Dynamics-Collision in 2-dimension,0.3
Kinematics-Linear Motion,Angular displacement,0.1
Kinematics-Linear Motion,Velocity and acceleration,0.1
Kinematics-Linear Motion,Relation between rotational motion and linear motion,0.1
Kinematics-Linear Motion,Rotational motion at constant angular acceleration,0.1
Kinematics-Linear Motion,Centripetal acceleration and centripetal force,0.1
Kinematics-Linear Motion,Rotational motion on horizontal and vertical planes,0.1
Kinematics-Linear Motion,Conical pendulum,0.1
Kinematics-Linear Motion,Centre of mass and torque,0.1
Kinematics-Linear Motion,Moment of inertia and parallel axis theorem,0.1
Kinematics-Linear Motion,Rotational kinetic energy,0.1
Kinematics-Linear Motion,Angular momentum,0.1
Kinematics-Linear Motion,Conservation of angular momentum,0.1
Kinematics-Linear Motion,Newton’s law of gravitation,0.1
Kinematics-Linear Motion,Gravitational field,0.1
Kinematics-Linear Motion,Gravitational potential,0.1
Kinematics-Linear Motion,The motion of satellite,0.1
Kinematics-Linear Motion,Escape velocity,0.1
Kinematics-Linear Motion,Center of gravity,0.1
Kinematics-Linear Motion,Force equilibrium and torque equlilbrium,0.1
Kinematics-Free Fall,Kinematics-Linear Motion,0.25
Kinematics-Free Fall,Kinematics-Free Fall,1
Kinematics-Free Fall,Kinematics-Projectile Motion,0.3
Kinematics-Free Fall,Dynamics -Newton’s Laws of Motion,0.4
Kinematics-Free Fall,Dynamics -Motion on inclined planes,0.3
Kinematics-Free Fall,"Work, kinetic energy and potential energy",0.4
Kinematics-Free Fall,Dynamics-Work-energy theorem,0.4
Kinematics-Free Fall,Dynamics-Conservation of energy,0.4
Kinematics-Free Fall,Dynamics-Power,0.4
Kinematics-Free Fall,Dynamics-Linear momentum,0.4
Kinematics-Free Fall,Dynamics-Conservation of linear momentum and impulse,0.2
Kinematics-Free Fall,Dynamics-Elastic collision,0.2
Kinematics-Free Fall,Dynamics-Inelastic collision,0.4
Kinematics-Free Fall,Dynamics-Collision in 2-dimension,0.4
Kinematics-Free Fall,Angular displacement,0.2
Kinematics-Free Fall,Velocity and acceleration,0.2
Kinematics-Free Fall,Relation between rotational motion and linear motion,0.2
Kinematics-Free Fall,Rotational motion at constant angular acceleration,0.2
Kinematics-Free Fall,Centripetal acceleration and centripetal force,0.2
Kinematics-Free Fall,Rotational motion on horizontal and vertical planes,0.2
Kinematics-Free Fall,Conical pendulum,0.2
Kinematics-Free Fall,Centre of mass and torque,0.2
Kinematics-Free Fall,Moment of inertia and parallel axis theorem,0.2
Kinematics-Free Fall,Rotational kinetic energy,0.2
Kinematics-Free Fall,Angular momentum,0.2
Kinematics-Free Fall,Conservation of angular momentum,0.2
Kinematics-Free Fall,Newton’s law of gravitation,0.2
Kinematics-Free Fall,Gravitational field,0.2
Kinematics-Free Fall,Gravitational potential,0.2
Kinematics-Free Fall,The motion of satellite,0.2
Kinematics-Free Fall,Escape velocity,0.2
Kinematics-Free Fall,Center of gravity,0.2
Kinematics-Free Fall,Force equilibrium and torque equlilbrium,0.2
Kinematics-Projectile Motion,Kinematics-Linear Motion,0.25
Kinematics-Projectile Motion,Kinematics-Free Fall,0.3
Kinematics-Projectile Motion,Kinematics-Projectile Motion,1
Kinematics-Projectile Motion,Dynamics -Newton’s Laws of Motion,0.4
Kinematics-Projectile Motion,Dynamics -Motion on inclined planes,0.3
Kinematics-Projectile Motion,"Work, kinetic energy and potential energy",0.4
Kinematics-Projectile Motion,Dynamics-Work-energy theorem,0.4
Kinematics-Projectile Motion,Dynamics-Conservation of energy,0.4
Kinematics-Projectile Motion,Dynamics-Power,0.4
Kinematics-Projectile Motion,Dynamics-Linear momentum,0.4
Kinematics-Projectile Motion,Dynamics-Conservation of linear momentum and impulse,0.2
Kinematics-Projectile Motion,Dynamics-Elastic collision,0.2
Kinematics-Projectile Motion,Dynamics-Inelastic collision,0.4
Kinematics-Projectile Motion,Dynamics-Collision in 2-dimension,0.4
